"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8417","[tiles_w_img_btn2_signup] opens the sign up form","chromium","2026-06-16","skipped","2026-06-16","[SCB DE] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","8443","[background_banner_block_btn2_demo] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CMA AR] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","14935","[tiles_w_img_btn2_signup] opens the sign up form","chromium","2026-06-16","skipped","2026-06-16","[CYSEC FR] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","15519","Logo opens main page","chromium","2026-06-16","passed","2026-06-16","[CYSEC RO] Header navigation","header\header-navigation.spec.ts","",""
"","9042","Albania appears in the country search results","chromium","2026-06-16","passed","2026-06-16","[SCB DE] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8681","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB DE] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","15129","[background_banner_block_btn2_demo] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC HU] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","15731","Regional settings opens","chromium","2026-06-16","passed","2026-06-16","[CYSEC PL] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8565","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[ASIC EN] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","15878","Country dropdown opens with a search box","chromium","2026-06-16","passed","2026-06-16","[CYSEC IT] Header regional settings","header\header-regional-settings.spec.ts","",""
"","15187","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC HU] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","15704","[background_banner_block_btn1_signup] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC IT] Trading / Learn / All resources","content\trading.spec.ts","",""
"","8617","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB ZH_HANT] Trading / Learn / Trading psychology","content\trading.spec.ts","",""
"","8565","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB ES] Trading / Learn / Trading psychology","content\trading.spec.ts","",""
"","15867","Cyprus appears in the country search results","chromium","2026-06-16","passed","2026-06-16","[CYSEC PL] Header regional settings","header\header-regional-settings.spec.ts","",""
"","15173","[background_banner_block_btn1_signup] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC HU] Trading / Learn / All resources","content\trading.spec.ts","",""
"","15521","[background_banner_block_btn1_signup] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC FR] Trading / Learn / All resources","content\trading.spec.ts","",""
"","15768","Login button opens the login form","chromium","2026-06-16","passed","2026-06-16","[CYSEC DE] Header auth entry","header\header-auth.spec.ts","",""
"","8472","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB EN] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","8866","Regional settings opens","chromium","2026-06-16","passed","2026-06-16","[SCB ZH_HANT] Header regional settings","header\header-regional-settings.spec.ts","",""
"","9145","Albania can be selected","chromium","2026-06-16","passed","2026-06-16","[SCB MN] Header regional settings","header\header-regional-settings.spec.ts","",""
"","9101","Logo opens main page","chromium","2026-06-16","passed","2026-06-16","[SCB FR] Header navigation","header\header-navigation.spec.ts","",""
"","9088","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB EN] Trading / Learn / All resources","content\trading.spec.ts","",""
"","8565","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CMA AR] Pricing / Pricing","content\pricing.spec.ts","",""
"","9139","Albania can be selected","chromium","2026-06-16","passed","2026-06-16","[SCB RU] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8894","Regional settings opens","chromium","2026-06-16","passed","2026-06-16","[SCB FR] Header regional settings","header\header-regional-settings.spec.ts","",""
"","14213","Country dropdown opens with a search box","chromium","2026-06-16","passed","2026-06-16","[SCB MN] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8617","[background_banner_block_btn1_signup] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CMA AR] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
"","9153","United Arab Emirates can be selected","chromium","2026-06-16","passed","2026-06-16","[CMA EN] Header regional settings","header\header-regional-settings.spec.ts","",""
"","16049","Country dropdown opens with a search box","chromium","2026-06-16","passed","2026-06-16","[CYSEC HU] Header regional settings","header\header-regional-settings.spec.ts","",""
"","9034","Country dropdown opens with a search box","chromium","2026-06-16","passed","2026-06-16","[CMA EN] Header regional settings","header\header-regional-settings.spec.ts","",""
"","8487","[background_banner_block_btn2_demo] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CMA AR] Trading / Learn / All resources","content\trading.spec.ts","",""
"","8946","[banner_with_steps] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB EN] Pricing / Pricing","content\pricing.spec.ts","",""
"","15449","Logo opens main page","chromium","2026-06-16","passed","2026-06-16","[CYSEC NL] Header navigation","header\header-navigation.spec.ts","",""
"","15287","Open account button opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[CYSEC DE] Header auth entry","header\header-auth.spec.ts","",""
"","8750","[background_banner_block_btn1_signup] opens the sign up form","chromium","2026-06-16","passed","2026-06-16","[SCB DE] Trading / Learn / Trading strategies","content\trading.spec.ts","",""
